ID Transaksi;Tanggal;No Rekening;Nama Nasabah;Jenis Biller;Nama Biller;Nomor Pelanggan;Nominal;Biaya Admin;Total Bayar;Channel;Status
TRX000005;2026-03-27;1000001525;Andi Saputra;Air;PDAM;2711699843;192757;2000;194757;Mobile Banking;Sukses
TRX000007;2026-02-02;1000003291;Andi Saputra;Listrik;PLN;8900177684;328218;2000;330218;Mobile Banking;Sukses
TRX000013;2026-03-25;1000000632;Joko Susilo;BPJS;BPJS Kesehatan;2504919822;306404;2000;308404;Teller;Sukses
TRX000034;2026-03-09;1000001233;Eka Lestari;TV Kabel;First Media;5941927444;121973;2000;123973;Internet Banking;Sukses
TRX000071;2026-01-30;1000001183;Eka Lestari;Internet;IndiHome;8557497830;144184;2000;146184;ATM;Sukses
TRX000102;2026-02-12;1000001648;Intan Sari;BPJS;BPJS Kesehatan;9186822528;95817;2000;97817;ATM;Sukses
TRX000106;2026-01-03;1000002669;Andi Saputra;Internet;IndiHome;9111076849;324883;3000;327883;Mobile Banking;Sukses
TRX000129;2026-03-20;1000004526;Gina Marlina;Internet;Biznet;6141137399;259560;3000;262560;Teller;Sukses
TRX000239;2026-03-02;1000003140;Dedi Pratama;Air;PDAM;2754152808;409355;2500;411855;Internet Banking;Sukses
TRX000286;2026-03-09;1000003519;Eka Lestari;Air;PDAM;7954255948;434573;2500;437073;Mobile Banking;Sukses
TRX000322;2026-01-12;1000003482;Joko Susilo;BPJS;BPJS Kesehatan;9508136953;63021;2000;65021;Mobile Banking;Sukses
TRX000550;2026-03-18;1000001657;Fajar Hidayat;TV Kabel;First Media;4380879245;73368;2000;75368;Teller;Sukses
TRX000574;2026-03-07;1000002248;Joko Susilo;Internet;Biznet;6430528232;242009;3000;245009;Internet Banking;Sukses
TRX000612;2026-02-06;1000003526;Fajar Hidayat;BPJS;BPJS Kesehatan;8734475719;78109;2500;80609;Teller;Sukses
TRX000719;2026-02-12;1000004319;Dedi Pratama;TV Kabel;First Media;2276005413;443946;2000;445946;ATM;Sukses
TRX000796;2026-01-26;1000004826;Andi Saputra;Air;PDAM;7359181630;321958;2000;323958;Teller;Sukses
TRX000810;2026-03-29;1000000894;Citra Dewi;BPJS;BPJS Kesehatan;5634049237;221606;3000;224606;ATM;Sukses
TRX000937;2026-03-02;1000002254;Dedi Pratama;Internet;Biznet;5178447885;218748;2500;221248;ATM;Sukses
TRX000948;2026-02-20;1000001599;Budi Santoso;Air;PDAM;4205850492;194323;2500;196823;ATM;Sukses
TRX000950;2026-01-24;1000004107;Gina Marlina;BPJS;BPJS Kesehatan;2566407461;297489;2000;299489;EDC;Sukses
TRX001018;2026-01-25;1000001731;Gina Marlina;TV Kabel;First Media;2334617120;317330;3000;320330;Mobile Banking;Sukses
TRX001028;2026-02-22;1000002148;Joko Susilo;Internet;IndiHome;1781084083;328483;2000;330483;Teller;Sukses
TRX001037;2026-01-27;1000004683;Budi Santoso;Internet;Biznet;9626017538;174681;3000;177681;Mobile Banking;Sukses
TRX001041;2026-01-14;1000001583;Budi Santoso;BPJS;BPJS Kesehatan;6948434693;169036;2000;171036;Internet Banking;Sukses
TRX001046;2026-02-19;1000002067;Dedi Pratama;TV Kabel;First Media;1808247387;136536;2000;138536;EDC;Sukses
TRX001060;2026-01-30;1000003786;Dedi Pratama;Internet;Biznet;6054530257;385107;3000;388107;Mobile Banking;Sukses
TRX001070;2026-03-19;1000001458;Andi Saputra;Internet;Biznet;1236332840;306042;2000;308042;Internet Banking;Sukses
TRX001071;2026-02-14;1000001918;Citra Dewi;TV Kabel;First Media;7608726384;168113;2500;170613;EDC;Sukses
TRX001102;2026-01-23;1000003965;Intan Sari;Listrik;PLN;8790641950;227383;2000;229383;Internet Banking;Sukses
TRX001157;2026-01-30;1000003706;Budi Santoso;TV Kabel;Transvision;6112659479;354138;2000;356138;ATM;Sukses
TRX001225;2026-01-10;1000000322;Gina Marlina;BPJS;BPJS Kesehatan;2015568746;297833;2000;299833;ATM;Sukses
TRX001345;2026-02-02;1000004579;Andi Saputra;TV Kabel;Transvision;7488568609;177115;3000;180115;Mobile Banking;Sukses
TRX001399;2026-03-03;1000002362;Citra Dewi;Internet;IndiHome;4788410595;215788;3000;218788;ATM;Sukses
TRX001417;2026-01-01;1000001765;Dedi Pratama;Internet;Biznet;4749030859;478228;2000;480228;Mobile Banking;Sukses
TRX001418;2026-01-14;1000001491;Gina Marlina;Air;PDAM;2638829177;384489;2000;386489;Teller;Sukses
TRX001458;2026-03-20;1000001881;Joko Susilo;BPJS;BPJS Kesehatan;4655592041;76990;2500;79490;EDC;Sukses
TRX001473;2026-02-13;1000004527;Dedi Pratama;TV Kabel;First Media;4662437482;68414;3000;71414;EDC;Sukses
TRX001551;2026-01-30;1000001799;Fajar Hidayat;TV Kabel;First Media;9131914743;259584;2000;261584;ATM;Sukses
TRX001573;2026-02-20;1000003508;Hadi Wijaya;TV Kabel;Transvision;4654012516;331216;2000;333216;ATM;Sukses
TRX001576;2026-03-15;1000002269;Citra Dewi;BPJS;BPJS Kesehatan;9619430105;289408;3000;292408;Internet Banking;Sukses
TRX001577;2026-03-11;1000000961;Budi Santoso;Listrik;PLN;7068885372;321408;2500;323908;Mobile Banking;Sukses
TRX001649;2026-02-04;1000000576;Joko Susilo;Listrik;PLN;5980891398;383017;2500;385517;Mobile Banking;Sukses
TRX001688;2026-03-12;1000000219;Eka Lestari;Air;PDAM;8924351817;350358;2500;352858;ATM;Sukses
TRX001742;2026-03-18;1000002408;Hadi Wijaya;Listrik;PLN;1549268019;295524;2500;298024;Internet Banking;Sukses
